Date,DateStamp,Open,High,Low,Close,Volume
2024-03-15 00:00:00,1710460800000,71388.94,71550.0,71380.0,71521.11,154.9907
2024-03-15 00:05:00,1710461100000,71521.11,71550.0,71443.65,71443.65,111.36766
2024-03-15 00:10:00,1710461400000,71443.66,71465.19,71379.99,71380.0,99.78674
2024-03-15 00:15:00,1710461700000,71380.0,71631.25,71254.0,71627.27,228.18714
2024-03-15 00:20:00,1710462000000,71627.27,71814.8,71601.64,71814.8,273.84371
2024-03-15 00:25:00,1710462300000,71814.79,72109.43,71772.23,72089.0,466.4646
2024-03-15 00:30:00,1710462600000,72089.0,72419.71,71950.0,72404.0,401.14432
2024-03-15 00:35:00,1710462900000,72404.0,72419.7,72140.0,72259.13,246.1854
2024-03-15 00:40:00,1710463200000,72259.14,72300.0,71873.17,71899.34,322.51216
2024-03-15 00:45:00,1710463500000,71899.33,71994.22,71788.02,71893.03,255.10119
2024-03-15 00:50:00,1710463800000,71893.03,71930.0,71824.0,71829.55,113.4416
2024-03-15 00:55:00,1710464100000,71829.54,71959.92,71785.57,71910.01,128.55822
2024-03-15 01:00:00,1710464400000,71910.01,72006.76,71799.0,71820.01,162.52876
2024-03-15 01:05:00,1710464700000,71820.0,71900.0,71785.57,71799.84,146.18679
2024-03-15 01:10:00,1710465000000,71799.83,72024.4,71799.83,72008.0,110.12913
2024-03-15 01:15:00,1710465300000,72008.0,72068.42,71908.38,71969.79,204.14784
2024-03-15 01:20:00,1710465600000,71969.79,71979.4,71852.95,71875.62,140.94585
2024-03-15 01:25:00,1710465900000,71875.62,71960.0,71843.04,71901.11,101.22627
2024-03-15 01:30:00,1710466200000,71901.1,71955.99,71881.1,71923.66,131.72533
2024-03-15 01:35:00,1710466500000,71923.66,71995.1,71921.1,71921.11,149.94962
2024-03-15 01:40:00,1710466800000,71921.1,71921.11,71834.41,71899.99,109.92313
2024-03-15 01:45:00,1710467100000,71900.0,71900.0,71719.49,71780.83,125.55137
2024-03-15 01:50:00,1710467400000,71780.82,71780.83,71604.01,71624.01,184.7116
2024-03-15 01:55:00,1710467700000,71624.01,71676.9,71604.01,71631.99,110.98171
2024-03-15 02:00:00,1710468000000,71632.0,71710.0,71561.95,71657.75,113.2105
2024-03-15 02:05:00,1710468300000,71657.74,71749.48,71631.38,71661.23,115.08001
2024-03-15 02:10:00,1710468600000,71661.23,71661.23,71472.0,71500.01,152.12007
2024-03-15 02:15:00,1710468900000,71500.01,71516.48,71389.55,71437.13,155.98818
2024-03-15 02:20:00,1710469200000,71437.14,71437.14,71000.0,71066.71,329.26435
2024-03-15 02:25:00,1710469500000,71066.7,71142.56,70678.67,70690.01,493.30453
2024-03-15 02:30:00,1710469800000,70690.0,70720.0,70324.0,70410.01,498.5971
2024-03-15 02:35:00,1710470100000,70410.01,70450.0,69684.1,69753.44,921.54737
2024-03-15 02:40:00,1710470400000,69753.44,70062.64,69360.2,69680.0,795.19461
2024-03-15 02:45:00,1710470700000,69680.0,69701.1,68880.0,69360.0,1117.26056
2024-03-15 02:50:00,1710471000000,69359.99,69521.1,68000.0,68441.53,1833.78745
2024-03-15 02:55:00,1710471300000,68441.52,69092.72,68427.35,69035.38,1015.98914
2024-03-15 03:00:00,1710471600000,69035.39,69440.91,68686.87,69344.24,923.92847
2024-03-15 03:05:00,1710471900000,69344.24,69395.59,68700.0,68966.64,703.58682
2024-03-15 03:10:00,1710472200000,68966.63,69250.0,68836.12,69129.98,409.77212
2024-03-15 03:15:00,1710472500000,69129.99,69354.94,68893.09,68963.5,457.78555
2024-03-15 03:20:00,1710472800000,68963.5,68980.15,67600.0,67964.4,1703.63568
2024-03-15 03:25:00,1710473100000,67964.39,68072.75,66699.0,67439.25,1879.16547
2024-03-15 03:30:00,1710473400000,67439.25,68109.91,67380.0,68067.29,1126.67458
2024-03-15 03:35:00,1710473700000,68067.29,68512.48,67960.0,68486.51,768.15136
2024-03-15 03:40:00,1710474000000,68486.51,68581.1,68138.73,68281.09,495.844
2024-03-15 03:45:00,1710474300000,68281.1,68897.98,68265.27,68704.87,744.75686
2024-03-15 03:50:00,1710474600000,68704.87,68926.77,68502.73,68506.0,541.75603
2024-03-15 03:55:00,1710474900000,68506.01,68599.51,68009.01,68224.01,646.86616
2024-03-15 04:00:00,1710475200000,68224.01,68439.59,67827.59,67833.58,715.23905
2024-03-15 04:05:00,1710475500000,67833.58,68090.0,67350.0,67946.14,822.78377
2024-03-15 04:10:00,1710475800000,67946.13,68514.61,67926.27,68490.04,516.22092
2024-03-15 04:15:00,1710476100000,68490.05,68490.05,68144.0,68313.39,419.68044
2024-03-15 04:20:00,1710476400000,68313.39,68460.0,68112.3,68161.12,316.62711
2024-03-15 04:25:00,1710476700000,68161.11,68233.99,67966.0,68190.0,364.3208
2024-03-15 04:30:00,1710477000000,68190.01,68278.41,67600.0,67799.99,464.87545
2024-03-15 04:35:00,1710477300000,67800.0,67923.9,67389.89,67468.01,615.80515
2024-03-15 04:40:00,1710477600000,67468.0,67558.46,66904.98,66995.92,796.29826
2024-03-15 04:45:00,1710477900000,66995.93,67520.84,66992.0,67508.0,657.16448
2024-03-15 04:50:00,1710478200000,67508.0,67652.0,67181.1,67476.28,502.7038
2024-03-15 04:55:00,1710478500000,67476.28,67620.0,67287.54,67447.99,358.04628
2024-03-15 05:00:00,1710478800000,67447.98,68211.22,67381.1,67984.39,549.94261
2024-03-15 05:05:00,1710479100000,67984.4,68172.41,67801.12,68120.0,326.22727
2024-03-15 05:10:00,1710479400000,68120.01,68250.0,67900.0,68034.48,355.85617
